candidate_id,corpus_id,title,doi,url,license,version,source_name,path,downloaded,pdf_signature,bytes,sha256,content_type,retrieved_at,error
DCM-00002-SS,DCM-00002,Handbook of Conversation Design for Instructional Applications,https://doi.org/10.4018/978-1-59904-597-9,https://doi.org/10.4018/978-1-59904-597-9,,HYBRID,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00002-SS-Handbook-of-Conversation-Design-for-Instructional-Applications.pdf,false,false,0,,,2026-09-08T00:05:21.039263+00:00,<HTTPError 429: 'Too Many Requests'>
DCM-00014-SS,DCM-00014,MindfulDiary: Harnessing Large Language Model to Support Psychiatric Patients' Journaling,https://doi.org/10.1145/3613904.3642937,https://doi.org/10.1145/3613904.3642937,,GOLD,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00014-SS-MindfulDiary-Harnessing-Large-Language-Model-to-Support-Psychiatr.pdf,false,false,0,,,2026-09-08T00:05:21.040252+00:00,<HTTPError 403: 'Forbidden'>
DCM-00046-SS,DCM-00046,Affective State Prediction Based on Semi-Supervised Learning from Smartphone Touch Data,https://doi.org/10.1145/3313831.3376504,https://www.research-collection.ethz.ch/bitstream/20.500.11850/442912/3/AffectiveStatePredictionBasedonSemi-SupervisedLearningfromSmartphoneTouchData.pdf,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00046-SS-Affective-State-Prediction-Based-on-Semi-Supervised-Learning-from.pdf,true,false,782,ca457f9ea9c3bd685eec8f9286c65241ebe009a395c65741c53301c00019e992,text/html; charset=UTF-8,2026-09-08T00:05:21.041252+00:00,response-is-not-pdf
DCM-00063-SS,DCM-00063,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,https://doi.org/10.1145/3772318.3791391,https://doi.org/10.1145/3772318.3791391,,GOLD,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00063-SS-CritiqueCrew-Orchestrating-Multi-Perspective-Conversational-Desig.pdf,false,false,0,,,2026-09-08T00:05:21.042336+00:00,<HTTPError 403: 'Forbidden'>
DCM-00085-SS,DCM-00085,Chatbot for Social Need Screening and Resource Sharing With Vulnerable Families: Iterative Design and Evaluation Study,https://doi.org/10.2196/57114,https://doi.org/10.2196/57114,,GOLD,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00085-SS-Chatbot-for-Social-Need-Screening-and-Resource-Sharing-With-Vulne.pdf,true,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/html; charset=UTF-8,2026-09-08T00:05:21.042336+00:00,response-is-not-pdf
DCM-00096-SS,DCM-00096,HARNESSING HUMAN-CENTRED DESIGN APPROACHES TO BUILD A CHATBOT FOR PEOPLE LIVING WITH HYPERTENSION,https://doi.org/10.1097/01.hjh.0000837428.79504.19,https://doi.org/10.1097/01.hjh.0000837428.79504.19,,BRONZE,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00096-SS-HARNESSING-HUMAN-CENTRED-DESIGN-APPROACHES-TO-BUILD-A-CHATBOT-FOR.pdf,false,false,0,,,2026-09-08T00:05:21.043345+00:00,<HTTPError 403: 'Forbidden'>
DCM-00100-SS,DCM-00100,Breaking down barriers to warning technology adoption: usability and usefulness of a messenger app warning bot,https://doi.org/10.1515/icom-2024-0067,https://doi.org/10.1515/icom-2024-0067,,GOLD,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00100-SS-Breaking-down-barriers-to-warning-technology-adoption-usability-a.pdf,true,false,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/html; charset=UTF-8,2026-09-08T00:05:21.096166+00:00,response-is-not-pdf
DCM-00103-SS,DCM-00103,Studies in Conversational UX Design,https://doi.org/10.1007/978-3-319-95579-7,https://link.springer.com/content/pdf/bfm:978-3-319-95579-7/1?pdf=chapter%20toc,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00103-SS-Studies-in-Conversational-UX-Design.pdf,true,true,77070,331a22db171d289455fd9789684282e12f51ae65dc6d250c3fd7d8b591151229,application/pdf,2026-09-08T00:05:21.111829+00:00,
DCM-00116-SS,DCM-00116,Smart Hospital Chatbot-Virtual Doctor Consultation and Appointment,https://doi.org/10.48175/ijarsct-2517,https://doi.org/10.48175/ijarsct-2517,,GOLD,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00116-SS-Smart-Hospital-Chatbot-Virtual-Doctor-Consultation-and-Appointmen.pdf,true,false,359603,c8d89b059b5eb52a9fc826450c9117c0678eb8a485129c6299fa2c355a0fcc7b,text/html,2026-09-08T00:05:21.971510+00:00,response-is-not-pdf
DCM-00148-SS,DCM-00148,Inside pandora’s box: a systematic review of the assessment of the perceived quality of chatbots for people with disabilities or special needs,https://doi.org/10.1080/17483107.2020.1775313,https://research.utwente.nl/en/publications/4fd65ff6-63f4-4621-9479-95143486e1fb,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00148-SS-Inside-pandora-s-box-a-systematic-review-of-the-assessment-of-the.pdf,true,false,56830,44c17589f7f9dbd2e2789c197ac63cf882910cd81249a714a69f1ef4bd3e7bd5,text/html;charset=UTF-8,2026-09-08T00:05:21.972545+00:00,response-is-not-pdf
DCM-00165-SS,DCM-00165,User Preference and Categories for Error Responses in Conversational User Interfaces,https://doi.org/10.1145/3405755.3406126,http://publica.fraunhofer.de/documents/N-593271.html,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00165-SS-User-Preference-and-Categories-for-Error-Responses-in-Conversatio.pdf,true,false,967828,60f907ea4528b27acef340d2080b6d9bed087da788acadd38aa01700f924925e,text/html; charset=utf-8,2026-09-08T00:05:21.992396+00:00,response-is-not-pdf
DCM-00194-SS,DCM-00194,Designing Kitchen Technologies for Ageing in Place,https://doi.org/10.1145/3463516,http://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-218291,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00194-SS-Designing-Kitchen-Technologies-for-Ageing-in-Place.pdf,false,false,0,,,2026-09-08T00:05:21.993395+00:00,"URLError(TimeoutError(10060, 'Uma tentativa de conexão falhou porque o componente conectado não respondeu\r\ncorretamente após um período de tempo ou a conexão estabelecida falhou\r\nporque o host conectado não respondeu', None, 10060, None))"
DCM-00201-SS,DCM-00201,Voice Interfaces in Everyday Life,https://doi.org/10.1145/3173574.3174214,https://nottingham-repository.worktribe.com/output/927340,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00201-SS-Voice-Interfaces-in-Everyday-Life.pdf,false,false,0,,,2026-09-08T00:05:22.084650+00:00,<HTTPError 403: 'Forbidden'>
DCM-00205-SS,DCM-00205,Introducing a Virtual Assistant to the Lab: A Voice User Interface for the Intuitive Control of Laboratory Instruments,https://doi.org/10.1177/2472630318788040,https://doi.org/10.1177/2472630318788040,,HYBRID,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00205-SS-Introducing-a-Virtual-Assistant-to-the-Lab-A-Voice-User-Interface.pdf,true,false,2692,50b3c1247f40da4871f291ea87e71bdc3852e73ec9a2a5fadda2b6efecaeca3b,text/html;charset=UTF-8,2026-09-08T00:05:22.275769+00:00,response-is-not-pdf
DCM-00207-SS,DCM-00207,Examining Humanness as a Metaphor to Design Voice User Interfaces,https://doi.org/10.1145/3640794.3665535,https://doi.org/10.1145/3640794.3665535,,GOLD,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00207-SS-Examining-Humanness-as-a-Metaphor-to-Design-Voice-User-Interfaces.pdf,false,false,0,,,2026-09-08T00:05:22.406384+00:00,<HTTPError 403: 'Forbidden'>
DCM-00226-SS,DCM-00226,The impact of the physical and social embodiment of voice user interfaces on user distraction,https://doi.org/10.1016/j.ijhcs.2022.102784,https://www.sciencedirect.com/science/article/am/pii/S1071581922000131,,BRONZE,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00226-SS-The-impact-of-the-physical-and-social-embodiment-of-voice-user-in.pdf,false,false,0,,,2026-09-08T00:05:22.506744+00:00,<HTTPError 403: 'Forbidden'>
DCM-00244-SS,DCM-00244,Impact of English regional accents on user acceptance of voice user interfaces,https://doi.org/10.1145/1463160.1463235,https://ris.utwente.nl/ws/files/5469668/p523-niculescu.pdf,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00244-SS-Impact-of-English-regional-accents-on-user-acceptance-of-voice-us.pdf,false,false,0,,,2026-09-08T00:05:22.757687+00:00,<HTTPError 404: 'Not Found'>
DCM-00248-SS,DCM-00248,"“Hey assistant, how can I become a donor?” The case of a conversational agent designed to engage people in blood donation",https://doi.org/10.1016/j.jbi.2020.103461,https://doi.org/10.1016/j.jbi.2020.103461,,BRONZE,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00248-SS-Hey-assistant-how-can-I-become-a-donor-The-case-of-a-conversation.pdf,true,false,2745,d78284a68235aa38afc0b0dbbe0b62af05a56277741b4b59aef29364712e3103,text/html;charset=UTF-8,2026-09-08T00:05:23.057779+00:00,response-is-not-pdf
DCM-00279-SS,DCM-00279,Discourse Behavior of Older Adults Interacting with a Dialogue Agent Competent in Multiple Topics,https://doi.org/10.1145/3484510,https://arxiv.org/pdf/1907.06279,,GREEN,Semantic Scholar,library/staging/master-semantic-scholar/DCM-00279-SS-Discourse-Behavior-of-Older-Adults-Interacting-with-a-Dialogue-Ag.pdf,true,true,267845,92f2cc926de02cfde7f5ac4233cdbf2e99a370fe1bd81ec97e7b8ec2bac2cc18,application/pdf,2026-09-08T00:05:23.208027+00:00,
